,0
given the,1307
variety of,4547
in which,1822
seem to,3193
for example,1204
be in,537
between the,621
the usual,4059
she has,3225
as one,427
and went,321
went on,4745
testosterone blockers,3493
with my,4884
my name,2416
prior to,2947
to any,4245
problem is,2950
people that,2864
of my,2642
you don,4974
as man,422
one can,2772
can say,760
they knew,4147
me as,2282
under the,4496
as being,413
in her,1738
to protect,4360
since he,3268
to my,4344
that didn,3522
whether he,4797
do not,1022
not know,2527
her facebook,1539
on november,2743
now been,2545
such as,3423
the daily,3680
daily mail,937
on wednesday,2765
she wrote,3232
heard from,1517
is being,1892
being reported,607
like to,2193
to me,4338
right now,3078
that had,3525
the facts,3715
an hour,194
believe this,614
in 2014,1699
leader abubakar,2154
abubakar shekau,62
shekau said,3233
months ago,2377
its fighters,2040
nigerian government,2481
they would,4155
be freed,534
year ago,4949
in videos,1817
hard to,1398
is likely,1914
to raise,4365
the government,3748
the release,3950
the girls,3743
girls who,1304
who were,4835
were kidnapped,4756
married them,2271
them off,4107
are all,370
all in,135
in their,1809
converted to,907
to islam,4323
this and,4164
they can,4138
girls were,1303
haram in,1393
in chad,1718
we don,4706
don know,1033
if we,1682
now we,2549
we will,4725
his head,1597
head the,1511
people with,2871
we want,4723
he says,1500
from college,1270
in july,1752
to boko,4259
the ceasefire,3655
supported by,3432
the violence,4067
since the,3271
the actual,3587
the five,3730
an islamic,206
which has,4804
western education,4767
education is,1067
town of,4453
of nigeria,2645
alex badeh,130
announced the,335
dozens of,1043
people and,2858
to flee,4293
on friday,2732
government has,1327
are also,371
within the,4898
editing by,1065
her to,1545
she had,3224
has reported,1422
the blog,3632
2012 and,21
the father,3719
she also,3222
point of,2898
of what,2687
was about,4606
few days,1143
something that,3311
even though,1089
find out,1159
that way,3567
on to,2759
decision to,972
would do,4937
the exact,3705
all over,137
again but,90
http co,1656
be made,540
intended to,1850
the law,3818
violence and,4587
and said,295
stop the,3398
international airport,1853
dressed in,1044
was spotted,4667
waiting for,4596
west africa,4765
officials have,2711
have said,1457
the incident,3780
uploaded to,4525
the russian,3964
he did,1479
in all,1704
it does,1994
taken by,3468
with an,4863
prime minister,2946
the us,4057
us and,4528
is known,1913
known for,2121
nothing more,2540
so the,3294
there the,4128
course the,920
it hard,1998
to believe,4258
the fake,3716
following the,1191
is on,1921
and its,265
just one,2082
off the,2695
200 000,18
story to,3408
their own,4099
media the,2297
with their,4893
for their,1228
the state,4005
story was,3409
everything we,1093
you see,4980
piece of,2886
reported by,3031
it as,1984
though it,4194
the sale,3966
sale of,3139
it but,1986
that not,3548
the true,4047
you have,4976
on an,2719
times and,4234
not just,2526
those who,4192
the british,3641
the telegraph,4031
york post,4967
started to,3357
few months,1144
have no,1452
vladi private,4590
private islands,2948
took the,4445
that after,3502
but when,713
it for,1996
him as,1557
as we,439
however it,1654
it the,2025
it on,2015
not for,2518
time that,4230
time and,4222
the price,3928
you are,4970
think it,4159
in this,1810
airstrikes against,117
of jordanian,2625
jordanian pilot,2066
would make,4941
what is,4773
which had,4803
making the,2251
pic twitter,2880
twitter com,4481
against isil,93
of state,2663
in any,1708
air strikes,114
local media,2207
is set,1933
the official,3884
in chief,1720
chief of,814
the jordanian,3801
the king,3808
any of,341
said but,3107
he may,1494
verified the,4551
the authenticity,3617
recording that,3000
ferguson missouri,1140
police officer,2908
18 year,16
to death,4278
with friend,4872
be heard,535
the background,3620
video to,4582
the fbi,3720
told cnn,4427
six shots,3277
followed by,1189
by four,728
an autopsy,186
by brown,724
brown family,671
the unarmed,4052
least six,2163
six times,3278
post the,2924
is absolutely,1880
and our,289
not only,2530
blog post,628
message is,2312
be verified,551
this case,4166
case the,780
video in,4570
in question,1789
was created,4621
at 12,451
on saturday,2746
time to,4232
lester holt,2181
north carolina,2502
for us,1234
you would,4988
person who,2874
the meal,3838
was apparently,4612
the late,3815
york times,4968
the times,4040
how the,1652
for more,1216
respond to,3058
for comment,1200
comment on,872
has already,1402
the idea,3775
security guard,3181
and are,225
can see,761
they do,4142
on and,2720
work to,4917
law enforcement,2150
24 hours,29
where it,4794
it should,2020
the robots,3958
safety of,3099
that and,3507
used in,4539
but as,689
eyes and,1108
described as,987
on monday,2740
the back,3619
in what,1821
police have,2906
and on,284
on tuesday,2761
believe that,612
described the,988
the prime,3929
but said,706
the two,4050
crimes are,925
and will,326
will have,4849
have left,1447
left his,2176
is how,1907
in south,1799
the attack,3614
the town,4044
and at,229
thought it,4197
when you,4791
you think,4982
it it,2006
is really,1926
any time,343
she would,3231
have come,1439
on my,2741
said if,3113
if anyone,1673
regarding the,3008
lost his,2222
the early,3698
group the,1354
him up,1567
wonder mike,4909
master gee,2276
to her,4309
the trio,4045
rapper delight,2980
so sad,3291
of our,2649
our brother,2814
rest in,3063
in peace,1783
that all,3503
homeless people,1636
around with,404
the money,3857
video has,4568
money to,2370
named thomas,2426
the liquor,3826
liquor store,2198
the store,4008
the park,3903
food and,1192
only to,2787
he didn,1480
didn know,1009
in need,1768
he then,1501
his family,1590
family home,1125
in addition,1700
addition to,75
close to,850
000 people,1
changed his,807
his life,1605
said on,3122
video was,4583
sort of,3320
one day,2773
is available,1889
in st,1801
none of,2499
of it,2622
version of,4553
evidence that,1095
on nov,2742
the pope,3920
that day,3520
of all,2567
ago the,104
it wasn,2033
next day,2472
and also,220
it up,2030
saying we,3156
of two,2681
the use,4058
gave him,1287
media and,2292
story that,3406
was known,4637
of several,2656
news outlets,2462
and others,288
based on,521
contributed to,902
to this,4410
so much,3290
for it,1212
the day,3681
the public,3937
are so,389
too good,4440
good to,1320
to check,4266
were also,4750
the more,3858
that may,3545
be true,549
in some,1797
the website,4076
least one,2162
saying the,3155
type of,4490
and to,312
to offer,4348
his real,1614
spice flavored,3339
just before,2079
before the,593
determined to,997
he got,1486
the young,4092
young man,4989
the hope,3769
them and,4103
the city,3662
north eastern,2503
eastern china,1059
event in,1090
and had,252
him by,1559
the scene,3969
to put,4364
the three,4038
said was,3132
and decided,238
to another,4244
to ask,4250
me to,2286
saying he,3152
can even,756
added the,73
there lot,4126
the hospital,3770
though the,4196
said as,3104
as his,417
earlier this,1055
do it,1021
at that,467
two other,4487
didn even,1007
12 seconds,13
hours later,1642
over to,2835
house and,1644
him the,1565
the doctors,3693
might not,2333
his first,1592
thomas said,4189
in and,1707
was believed,4616
all been,132
the creature,3676
can get,758
we thought,4721
out there,2825
of any,2573
the western,4079
ve never,4549
never heard,2442
heard of,1519
of spider,2661
the skin,3987
series of,3205
thought they,4199
of an,2570
so it,3288
were the,4762
the subject,4015
subject of,3422
then the,4116
from their,1280
those are,4190
are true,392
case is,779
they want,4152
is true,1945
we all,4698
all have,134
when we,4790
and in,260
dead or,962
alive and,131
it he,2001
can do,755
do is,1020
but not,702
think he,4158
to other,4351
him at,1558
he been,1474
the streets,4011
explained that,1103
to use,4418
use the,4536
campaign to,753
him on,1563
the road,3957
was trying,4676
saturday night,3144
his back,1578
the camera,3646
past two,2849
two days,4485
the network,3867
reporting from,3041
camera and,750
turned around,4474
around and,402
the social,3991
had more,1372
make sure,2246
the victim,4063
of some,2660
was on,4646
the air,3592
daily news,938
the rumors,3963
hit the,1623
make it,2245
why we,4839
working with,4928
about what,59
thank you,3500
you to,4983
whole thing,4836
nydailynews com,2552
mobile device,2364
device click,1000
click here,849
here to,1548
claimed that,836
the popular,3921
news agency,2455
media as,2293
facebook and,1110
and twitter,315
has gone,1411
gone viral,1318
born in,646
name for,2418
member of,2306
his brain,1582
of this,2674
stated that,3377
news conference,2457
and would,329
tv show,4478
and well,320
the truth,4048
well as,4741
that its,3538
are currently,376
confirmed it,890
this video,4183
to earth,4284
2014 rc,24
asteroid that,450
the meteorite,3846
one was,2781
authorities have,492
whether it,4798
believed the,616
said all,3102
the evidence,3704
on site,2749
with any,4865
nicaraguan institute,2478
institute of,1842
the explosion,3709
the outskirts,3897
outskirts of,2832
took place,4444
and left,272
the size,3986
size of,3280
for that,1226
that to,3565
to study,4397
it more,2012
rosario murillo,3088
murillo said,2408
work with,4918
happened the,1388
its way,2043
civil war,829
to twitter,4416
the vehicle,4060
company has,876
nature of,2431
twitter to,4482
history of,1621
the future,3739
fighting in,1155
city and,825
been the,584
scene of,3165
president bashar,2935
forces and,1240
controlled by,905
of iraq,2616
syria isis,3452
this report,4177
guard at,1357
said there,3128
not immediately,2523
if there,1679
the parliament,3904
he saw,1499
centre block,803
and there,309
outside the,2831
of parliament,2650
the shooting,3979
the area,3607
an ambulance,176
was working,4681
the wall,4069
fired at,1161
police said,2910
the heart,3761
heart of,1525
are in,381
and as,227
the masked,3835
intended for,1849
of kobane,2629
that were,3569
workers party,4923
the militant,3850
the military,3852
which the,4808
the associated,3612
associated press,447
the syrian,4024
syrian observatory,3460
observatory for,2559
for human,1209
human rights,1658
past few,2847
targets in,3479
in early,1727
august the,488
water and,4694
the department,3687
department of,982
of defense,2593
of them,2672
news reported,2463
late last,2140
area of,395
the iraqi,3791
iraqi army,1874
an area,180
were in,4755
lack of,2130
to kill,4328
there no,4127
middle east,2329
willing to,4857
the year,4090
despite the,990
identified in,1667
in 2008,1693
in one,1777
was held,4631
are the,391
report said,3027
war in,4603
there had,4122
in its,1749
way of,4696
the extremist,3710
extremist group,1107
state isis,3367
isis and,1954
al nusra,123
the black,3631
since then,3272
this would,4187
happen to,1387
we would,4726
to pull,4362
to nearby,4345
the guardian,3753
to local,4335
removed the,3021
in eastern,1728
or the,2800
before it,591
removed from,3020
supposed to,3433
they didn,4141
that some,3556
tell you,3483
can find,757
the central,3657
work in,4915
government said,1332
in statement,1802
statement on,3379
after an,79
real time,2993
one or,2777
world news,4931
news daily,2458
daily report,939
to them,4407
the following,3731
total of,4448
were found,4754
source said,3324
man named,2257
paul horner,2851
had the,1377
both the,651
the bbc,3623
police chief,2904
press conference,2939
conference to,884
to announce,4243
written by,4944
said you,3136
so many,3289
for you,1238
is from,1901
to talk,4402
police in,2907
story has,3402
saying it,3153
the patient,3907
this time,4182
is suffering,1938
or if,2796
comes after,864
building in,680
the situation,3985
the united,4054
prepared to,2933
them as,4104
continue to,897
to provide,4361
officials are,2709
monitoring the,2371
the recent,3945
details of,992
he will,1507
the big,3629
is unclear,1947
the church,3661
cautioned that,793
believed that,615
was at,4614
director of,1017
if that,1677
because they,557
something to,3312
but there,709
spokesman for,3346
council said,916
up his,4511
scroll down,3174
down for,1039
for video,1235
and gave,247
home in,1632
to treat,4413
has since,1426
the newspaper,3870
but do,691
was very,4678
just to,2084
was taken,4671
national report,2428
says that,3161
have also,1432
video which,4584
his arrest,1576
metropolitan police,2318
police and,2901
them the,4108
pictures of,2885
comes from,866
press release,2940
rather than,2982
the picture,3915
you get,4975
as if,418
has confirmed,1408
many people,2268
for now,1217
back in,500
since his,3269
middle class,2328
image of,1686
president barack,2934
barack obama,517
deny the,981
claim the,832
of one,2647
taken from,3469
the saudi,3968
director at,1016
embassy in,1071
in washington,1818
airport and,115
the palace,3900
that her,3529
showed the,3256
the meeting,3841
videos of,4586
in order,1779
order to,2804
obama and,2554
secretary of,3178
national security,2429
in front,1735
front of,1284
following his,1190
interview with,1856
of women,2689
to speak,4390
have in,1444
in terms,1805
terms of,3484
obama said,2557
to contact,4271
group boko,1346
haram is,1394
ceasefire with,799
the nigerian,3874
government was,1337
northeastern nigeria,2508
agence france,101
france presse,1253
where the,4795
was reportedly,4660
thus far,4217
refused to,3006
video the,4580
working in,4926
later released,2143
government and,1323
continues to,899
in northern,1773
northern nigeria,2510
since 2009,3266
to secure,4383
200 schoolgirls,19
of chibok,2586
haram and,1390
the schoolgirls,3971
islam and,1971
we did,4703
not negotiate,2529
we should,4719
says in,3158
for its,1213
girls in,1301
clear if,846
carried out,777
out by,2818
group has,1347
as result,431
result of,3067
the boko,3636
2013 the,23
nigerian military,2482
fight against,1147
haram the,1397
united nations,4498
rights watch,3081
forces have,1241
north and,2501
the south,3997
by lebanese,735
lebanese authorities,2169
the sister,3983
sister of,3273
in southern,1800
interior ministry,1852
abdul hamid,48
hamid al,1382
al dulaimi,122
by authorities,722
sentenced to,3201
ministry spokesman,2355
spokesman said,3347
wednesday the,4733
the terrorist,4033
dulaimi and,1047
saja al,3138
was part,4649
of group,2603
in exchange,1730
exchange for,1097
security officials,3184
officials in,2712
tuesday the,4472
the lebanese,3822
lebanese army,2168
as they,437
from syria,1278
woman was,4903
and so,301
revealed the,3076
she told,3229
the rest,3955
rest of,3064
and after,218
it time,2026
to hide,4310
my friends,2412
but only,705
his mother,1606
of four,2601
the west,4078
many of,2267
name was,2423
house of,1647
seems to,3195
and were,322
the life,3825
confirm the,887
the document,3694
should be,3251
in many,1760
the impact,3779
as of,426
to live,4334
and two,316
to bring,4260
who are,4817
that an,3506
with its,4880
is only,1923
access to,63
the property,3936
seen on,3197
the summer,4018
more information,2379
has allegedly,1401
residents of,3056
the reported,3953
tuesday that,4471
was to,4674
for her,1206
must be,2409
time the,4231
ministry of,2353
years in,4958
in jail,1750
told reuters,4433
known to,2122
of commons,2589
in black,1714
over his,2833
just how,2081
of security,2655
act of,67
concerned about,880
of himself,2609
the men,3843
of shots,2657
an unarmed,214
he wears,1505
he took,1503
the sergeant,3976
someone who,3308
his office,1609
killed him,2098
at an,454
died from,1010
the previous,3927
to leave,4332
leave the,2166
finished the,1160
video he,4569
was put,4654
and an,221
was like,4640
how many,1650
they say,4150
said and,3103
militants were,2342
border the,643
of homeland,2611
told fox,4428
suggestion that,3427
who have,4824
to isil,4321
apprehended at,367
the southwest,3999
southwest border,3334
border is,641
not supported,2533
by any,720
any credible,339
credible intelligence,924
intelligence or,1847
facts on,1116
no credible,2487
intelligence to,1848
to suggest,4398
terrorist organizations,3491
organizations are,2807
are actively,369
actively plotting,68
plotting to,2897
greta van,1341
van susteren,4546
from mexico,1276
it when,2034
when asked,4783
got the,1322
the information,3782
asked the,445
you know,4977
dozens more,1042
more that,2384
that did,3521
get caught,1291
say if,3147
spokesperson for,3348
to follow,4296
the levant,3823
fighters were,1154
to that,4404
johnson said,2060
along the,146
the intelligence,3784
reports from,3044
intelligence community,1844
for something,1223
the congressman,3671
during an,1050
terrorist group,3490
group that,1353
would likely,4940
wednesday that,4732
conversation with,906
high level,1551
the show,3981
the matter,3837
the process,3932
the lead,3819
will also,4843
john who,2059
on as,2721
take place,3466
also said,155
with this,4895
expect to,1101
this movie,4174
take the,3467
the night,3875
less than,2180
the former,3735
his alleged,1573
the claims,3664
been in,569
spoke to,3344
the the,4035
this article,4165
chief executive,813
has taken,1427
group which,1355
to spend,4392
had not,1374
people are,2859
said mr,3119
so we,3297
had said,1375
has in,1413
the killing,3806
the lack,3813
consistent with,895
is shown,1934
the decision,3686
the execution,3706
their families,4095
of three,2677
an attack,183
the pentagon,3909
on one,2744
and medical,276
medical supplies,2301
to kurdish,4330
kurdish forces,2128
two of,4486
but one,704
pentagon spokesman,2857
caused the,791
the weapons,4074
reports have,3045
indicated that,1833
believe it,611
the small,3989
is believed,1893
to contain,4272
the capsule,3649
idea of,1665
the contents,3672
details on,993
on their,2755
next week,2475
the boston,3638
capsule was,770
an ongoing,209
next year,2476
in place,1784
involved in,1863
after some,87
put it,2963
put in,2962
back into,501
them in,4106
the oldest,3887
that time,3564
in good,1736
america and,160
it very,2031
is another,1886
the old,3886
government that,1335
turned up,4476
and when,324
in time,1812
time for,4224
same day,3140
think that,4160
that amazon,3505
it doesn,1995
company was,877
missing since,2362
confrontation with,894
with police,4888
was among,4609
attorney general,481
continued to,898
the police,3918
and police,290
of iguala,2614
links to,2197
worked with,4920
the students,4014
officials had,2710
attack but,472
in iguala,1743
were killed,4757
been no,577
sign of,3262
the missing,3855
three weeks,4209
are believed,374
the bodies,3634
some time,3307
victims of,4563
very little,4555
and relatives,294
state capital,3360
night of,2485
for information,1210
know the,2116
south of,3332
mexico city,2321
chopped off,818
too much,4441
unable to,4493
could not,914
out in,2819
by aaron,717
social network,3299
on walter,2764
walter isaacson,4598
apple and,357
the ipod,3790
david fincher,945
the project,3935
sorkin said,3319
the beatles,3624
the highest,3763
highest bidder,1555
her daughter,1537
co uk,856
the mother,3860
up until,4518
29 year,32
meng xiangyan,2310
that apple,3509
whether or,4799
making it,2250
is and,1885
bit of,626
of light,2633
wears his,4728
his apple,1575
even in,1086
with what,4897
say that,3149
apple ceo,358
what sounds,4776
similar to,3265
have more,1450
although it,157
apple will,366
by saying,738
efforts to,1069
is trying,1946
to ensure,4287
was struck,4670
was brought,4619
have confirmed,1440
was fatally,4625
more shots,2382
shots were,3250
were fired,4753
the fatal,3718
and told,313
minister stephen,2352
stephen harper,3387
that if,3531
it came,1987
to it,4324
has to,1429
it said,2018
the canadian,3647
free press,1256
although the,158
of snow,2659
have now,1454
most popular,2390
and any,223
the beginning,3625
no such,2496
the global,3744
the number,3878
running the,3095
000 square,2
earlier in,1054
year and,4950
sure the,3438
it been,1985
are expected,378
attempting to,480
suresh kumar,3439
was seen,4663
taken to,3472
butcher shop,715
with sticks,4890
than an,3498
said no,3120
help the,1532
could see,915
ground and,1343
had lot,1371
of intolerable,2615
intolerable offences,1860
offences against,2698
against women,99
women in,4906
this country,4168
country recently,918
recently with,2997
with girls,4873
girls being,1299
being raped,606
and molested,278
molested and,2367
time it,4227
it stopped,2024
to hand,4304
hand themselves,1383
themselves in,4110
as deplorable,414
deplorable as,986
as these,436
these crimes,4133
are law,382
law and,2149
and order,286
order has,2803
be maintained,541
maintained and,2241
not lynch,2528
lynch justice,2230
most recent,2391
found that,1247
obama has,2556
un and,4491
south korean,3331
supreme leader,3434
authorities should,493
should make,3253
list of,2199
sure that,3437
the names,3864
kim il,2105
il sung,1685
and kim,269
jong il,2062
the 2011,3582
was real,4656
no doubt,2488
man is,2256
information about,1834
said have,3109
they did,4140
the account,3585
spokesperson told,3349
in response,1791
news the,2467
to fox,4297
the hashtag,3758
the center,3656
ability to,49
wrote in,4945
monday that,2369
as an,411
wooded area,4911
residents reported,3057
reported hearing,3033
hearing loud,1523
humberto saballos,1660
an asteroid,182
by earth,726
international experts,1854
for any,1198
other than,2810
about their,56
has now,1419
an internet,202
with another,4864
the pga,3912
in 2004,1691
heard that,1521
it something,2022
on that,2753
that in,3532
no truth,2497
to these,4408
and completely,235
ll be,2206
placed in,2888
been made,573
her family,1540
day in,950
had gone,1367
free the,1257
the tiny,4041
been identified,568
before she,592
episode of,1083
among other,168
the table,4025
of domestic,2595
failure to,1119
word of,4913
twitter and,4480
of other,2648
statement from,3378
the nfl,3872
to address,4238
millions of,2351
the issue,3797
issue of,1978
add to,71
reached out,2986
told us,4438
unlikely that,4503
covering the,921
and more,279
been named,576
the fish,3729
toll barn,4439
barn veterinary,518
veterinary centre,4558
later and,2141
vet faye,4557
faye bethell,1133
the 50,3584
that on,3549
heart rate,1526
months old,2378
string of,3418
including the,1830
this year,4188
it difficult,1993
operation to,2791
the workers,4087
toward the,4450
users of,4542
to rise,4379
depends on,985
on how,2735
aware of,494
very strong,4556
be more,542
week that,4736
ashton kutcher,441
be an,529
needs to,2440
the tour,4043
month of,2373
outside of,2830
much more,2405
if this,1681
familiar with,1122
situation in,3275
facebook page,1111
was abducted,4605
called the,747
purporting to,2960
post and,2920
reported on,3035
the israeli,3796
travel to,4456
syria for,3450
the northern,3877
the comments,3666
hospital where,1640
he wrote,1509
at their,469
the audio,3616
back and,499
related to,3010
tied to,4218
and food,242
the spca,4000
name is,2420
us the,4532
the statement,4006
will look,4850
until we,4505
health and,1513
islamist group,1974
haram has,1392
government had,1326
government spokesman,1333
boarding school,632
the third,4036
four years,1251
the 13,3579
state to,3376
threat to,4204
president goodluck,2936
goodluck jonathan,1321
government officials,1331
recent weeks,2995
war against,4602
of us,2682
he and,1472
begins with,597
to investigate,4318
coming from,869
the sound,3995
just happened,2080
area the,396
the filming,3726
was uploaded,4677
uploaded by,4524
month and,2372
group and,1345
real name,2992
the song,3994
was released,4658
landed in,2131
the hot,3772
in part,1782
released the,3018
mother of,2393
been able,560
the pair,3899
their first,4096
talking about,3475
referring to,3005
in possession,1785
its own,2042
and some,302
released video,3019
syria the,3455
long and,2211
states in,3385
but has,694
since been,3267
been removed,578
the terrorists,4034
against is,92
the airstrikes,3595
slippery slope,3282
slope towards,3283
towards new,4451
new war,2452
against muslims,96
his knees,1603
an orange,212
orange jumpsuit,2802
us government,4529
government is,1328
is his,1905
well the,4742
the message,3844
what appears,4769
british accent,661
journalist steven,2072
steven joel,3391
worked for,4919
for time,1233
of last,2631
the executioner,3707
foley was,1186
2011 he,20
forces in,1242
of which,2688
boston globe,648
don want,1036
is important,1908
his disappearance,1587
syria on,3453
then she,4114
she added,3221
possible that,2918
said people,3124
state run,3372
english language,1078
think you,4162
here what,1549
the virus,4068
the images,3778
contracted the,901
the deadly,3683
airport in,116
image was,1688
him that,1564
been found,567
the grounds,3751
be eating,532
eating any,1060
amanita muscaria,159
fly agaric,1172
on christmas,2727
christmas day,821
it shows,2021
have long,1448
palace garden,2837
the garden,3741
an effort,188
the catholic,3653
he also,1471
because she,555
could get,912
was set,4664
be one,544
his brother,1583
the footage,3732
that no,3547
intelligence agencies,1843
the jets,3798
more of,2381
the aircraft,3593
the anniversary,3599
anniversary of,333
sept 11,3202
attacks against,475
that are,3510
said one,3123
one official,2776
we found,4710
on sept,2747
what can,4770
can happen,759
state department,3361
confirm that,886
the officials,3885
not confirmed,2516
tripoli international,4465
by two,740
be allowed,528
to continue,4273
de blasio,957
stop and,3397
questions about,2972
the policy,3919
border and,639
isis the,1969
the administration,3588
referred to,3004
it makes,2009
makes sense,2249
left hand,2175
for long,1215
long time,2212
the obama,3881
never been,2441
doesn have,1030
they don,4143
an air,173
hunter said,1663
said adding,3101
adding that,74
group said,1352
to prevent,4359
prevent the,2943
denied that,980
the militants,3851
militants had,2339
burned alive,682
they ve,4151
of how,2613
mention of,2311
of president,2652
times reported,4235
to receive,4368
also reported,154
the kingdom,3809
say the,3150
the capital,3648
capital of,769
knowledge of,2119
of health,2605
life the,2188
people have,2861
published on,2956
the royal,3961
home and,1631
when was,4789
some sort,3306
control over,904
not want,2537
it still,2023
added that,72
to as,4249
as many,423
many as,2266
getty images,1294
how much,1651
last few,2134
isis may,1965
health organization,1515
newspaper al,2469
al sabah,126
of mosul,2640
iraqi government,1876
government newspaper,1329
pro government,2949
for sure,1224
ve seen,4550
are no,385
doctors in,1028
that have,3527
to diagnose,4281
ebola the,1063
believe the,613
reporting the,3043
wasn enough,4683
wednesday morning,4731
that allegedly,3504
captured the,774
the shots,3980
for all,1196
is something,1936
thought the,4198
the officer,3883
police car,2903
shot and,3240
all that,139
the tape,4028
the clip,3665
to build,4262
to create,4275
an image,195
interpretation of,1855
the possibility,3922
everything in,1092
the lives,3827
lives of,2203
twitter user,4483
and just,266
stories are,3400
only the,2786
shared the,3219
announced that,334
by ferguson,727
on august,2723
shots can,3247
pause and,2853
then another,4112
quick succession,2973
of six,2658
that pause,3551
just the,2083
attorney lopa,482
lopa blumenthal,2219
blumenthal told,631
don lemon,1034
his identity,1601
shooting and,3235
heard the,1522
on video,2763
video chat,4566
happened to,1389
same time,3141
blumenthal said,630
independently verify,1832
verify the,4552
for confirmation,1201
confirmation of,888
the pause,3908
police shooting,2912
brown is,673
and killed,268
heard on,1520
the brown,3642
incident the,1829
there could,4120
and friend,245
friend of,1263
dorian johnson,1037
of brown,2583
brown who,676
was walking,4679
shot brown,3242
ran away,2978
said brown,3106
ferguson police,1142
shortly before,3239
his friend,1593
that includes,3533
said monday,3118
students were,3420
set of,3210
ap photo,345
impossible to,1690
the remains,3951
guerrero state,1358
an operation,211
to capture,4264
official said,2704
if any,1672
minutes before,2356
before they,594
years the,4961
40 year,35
border with,645
the suffering,4016
suffering of,3425
towards the,4452
to rescue,4376
grew up,1342
is based,1890
based in,520
that while,3572
home the,1633
commented on,873
of today,2679
the key,3803
the source,3996
month when,2376
went viral,4747
more likely,2380
of spiders,2662
hoping to,1637
most people,2389
san francisco,3142
both of,650
first appeared,1163
appeared on,352
the cdc,3654
posted the,2929
will happen,4848
and asked,228
the product,3933
do you,1026
culkin has,930
said at,3105
that you,3576
it now,2014
on your,2768
morning the,2386
the international,3785
hoax story,1625
he called,1476
which are,4801
american airstrikes,162
killed the,2100
press secretary,2941
john kirby,2056
kirby said,2112
of mr,2641
the strike,4012
meet with,2304
first to,1168
spread the,3351
pointed out,2899
the face,3712
face of,1109
cooked meat,909
there have,4124
range of,2979
police spokesman,2913
already been,148
old son,2716
and made,274
she and,3223
the burger,3645
be killed,539
told that,4434
the fight,3722
were told,4763
the women,4085
foley an,1176
video released,4576
released on,3016
his face,1588
to foley,4295
strikes against,3414
any attempt,338
attempt by,477
by you,742
obama to,2558
safety under,3100
islamic caliphate,1972
caliphate will,744
will result,4854
result in,3066
the bloodshed,3633
bloodshed of,629
your people,4994
people the,2865
call on,745
friends family,1265
family members,1126
and loved,273
loved ones,2226
ones to,2782
rise up,3082
up against,4506
against my,97
my real,2417
real killers,2990
killers the,2101
it isn,2005
and security,298
video from,4567
investigating the,1861
looking into,2217
source of,3323
the soldier,3992
video then,4581
then ran,4113
several more,3215
report from,3023
the detroit,3689
of batman,2579
year that,4953
our son,2816
he gave,1485
gave his,1288
life trying,2189
to expose,4289
expose the,1104
syrian people,3461
people we,2868
syria or,3454
journalist and,2069
that their,3559
told buzzfeed,4426
buzzfeed news,716
before we,595
or two,2801
local police,2208
and around,226
and videos,317
ben affleck,618
bleeding cool,627
detroit free,998
took to,4446
is looking,1915
looking at,2215
show to,3255
the director,3691
street journal,3412
military operations,2346
been working,587
side of,3261
her early,1538
has an,1404
claims the,844
claim this,833
we do,4705
because we,558
has denied,1409
friday night,1260
get the,1293
haram had,1391
the extremists,3711
the is,3792
group in,1348
syria and,3449
and iraq,261
have reported,1456
chibok in,812
an international,201
their release,4101
criticism of,926
government for,1324
girls would,1305
government of,1330
million people,2349
of military,2638
here the,1547
the screen,3973
with kurdish,4882
or any,2794
ve been,4548
sunday that,3428
were looking,4758
people they,2866
in 2006,1692
in 2009,1694
involvement in,1864
the kurdish,3811
her capture,1535
organization has,2805
the disease,3692
no official,2494
official notification,2703
notification from,2542
christy feig,822
who director,4821
of communications,2590
website the,4730
the organisation,3892
suspected cases,3441
iraq as,1868
newspaper reported,2470
statement the,3382
the ministry,3853
sources in,3326
the existence,3708
existence of,1099
facilities in,1114
from entering,1271
iraq the,1871
that any,3508
year after,4948
later the,2144
joined the,2061
and for,243
ministry said,2354
gone missing,1317
press that,2942
the paper,3901
the publication,3938
details about,991
amount of,170
at some,466
some point,3305
focused on,1174
best known,620
shots that,3249
brought the,667
charge of,808
the ottawa,3896
he reportedly,1497
brother john,666
is said,1931
the son,3993
appeared in,351
to sit,4388
in aleppo,1703
was with,4680
stating that,3386
thursday the,4216
had earlier,1366
for what,1236
that many,3544
the nypd,3880
the current,3679
will make,4851
wrote on,4946
state militant,3369
the videos,4066
the beheadings,3627
beheadings of,601
of western,2685
security services,3185
operational reasons,2792
steven sotloff,3392
also known,153
all but,133
but his,696
top of,4447
with british,4868
the hostages,3771
the victims,4064
month the,2375
featured in,1135
kenji goto,2091
london and,2209
of emwazi,2597
returning to,3073
emwazi is,1073
years of,4959
computer programming,879
university of,4501
of westminster,2686
at mosque,463
mosque in,2387
said emwazi,3108
in may,1763
were detained,4752
the jihadist,3799
group al,1344
to recruit,4370
in june,1753
was detained,4623
counter terrorism,917
for syria,1225
to al,4239
post said,2922
emwazi was,1074
have travelled,1466
around 2012,401
later joined,2142
swathes of,3446
terrorism command,3489
command said,871
have previously,1455
to speculate,4391
the details,3688
that life,3542
is at,1887
the identity,3776
of anyone,2574
anyone at,344
this stage,4178
stage or,3353
or give,2795
give an,1306
an update,217
update on,4522
the progress,3934
progress of,2952
this live,4171
was being,4615
